,ATAC-seq,DNase-seq,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac
ATAC-seq,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,3,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0
DNase-seq,7,40,4,4,1,5,4,3,2,4,0,4,5,3,2,12,9,12,5,9,5,17,3,5,3,5,2,0,11,1,1,3,3,5,4
H2AFZ,0,4,10,1,0,2,3,1,1,1,1,2,4,0,2,6,5,7,2,8,5,8,2,4,5,8,1,1,5,1,1,2,2,4,1
H2AK5ac,0,4,1,5,1,4,3,2,1,3,0,3,3,3,0,4,4,3,5,3,3,4,1,3,2,2,1,0,5,0,1,2,1,3,3
H2AK9ac,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1
H2BK120ac,0,5,2,4,1,5,4,3,2,4,0,3,4,3,1,5,5,4,4,4,4,5,2,4,3,3,1,0,4,0,1,1,2,4,4
H2BK12ac,0,4,3,3,0,4,5,2,1,3,0,2,3,2,1,4,4,3,3,3,3,4,1,3,2,4,0,0,3,0,1,0,1,5,3
H2BK15ac,0,3,1,2,1,3,2,4,2,3,0,3,2,2,1,3,3,3,2,4,3,3,2,2,2,1,1,0,2,0,0,1,2,2,3
H2BK20ac,0,2,1,1,1,2,1,2,2,2,0,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,0,1,0,0,1,2,1,2
H2BK5ac,0,4,1,3,1,4,3,3,2,5,0,2,3,3,1,4,4,5,3,3,5,4,2,3,2,2,1,0,3,0,0,1,2,3,5
H3F3A,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
H3K14ac,0,4,2,3,1,3,2,3,1,2,0,5,3,2,1,4,4,3,4,5,2,4,2,3,2,2,1,0,4,1,1,1,2,3,2
H3K18ac,0,5,4,3,1,4,3,2,2,3,0,3,6,2,2,5,5,4,4,4,3,5,3,6,3,5,1,0,4,1,1,1,3,4,3
H3K23ac,0,3,0,3,1,3,2,2,1,3,0,2,2,3,0,3,3,3,3,2,3,3,1,2,1,1,1,0,3,0,0,1,1,2,3
H3K23me2,0,2,2,0,0,1,1,1,1,1,0,1,2,0,2,2,2,2,1,2,1,2,2,2,1,2,0,0,1,1,0,0,2,2,1
H3K27ac,3,12,6,4,1,5,4,3,2,4,0,4,5,3,2,32,18,19,5,17,6,20,3,5,5,7,2,1,18,1,1,4,3,5,4
H3K27me3,2,9,5,4,1,5,4,3,2,4,0,4,5,3,2,18,28,22,5,18,5,20,3,5,6,8,1,0,19,1,1,2,3,5,4
H3K36me3,3,12,7,3,1,4,3,3,2,5,1,3,4,3,2,19,22,33,4,22,9,24,3,4,5,9,2,1,21,1,0,3,3,4,5
H3K4ac,0,5,2,5,1,4,3,2,1,3,0,4,4,3,1,5,5,4,6,4,3,5,2,4,2,3,1,0,6,1,1,2,2,4,3
H3K4me1,3,9,8,3,1,4,3,4,2,3,1,5,4,2,2,17,18,22,4,28,7,19,3,4,6,9,2,1,20,1,1,3,3,4,3
