,ATAC-seq,DNase-seq,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac
ATAC-seq,46,30,2,0,1,0,1,0,0,1,0,0,0,0,0,39,28,28,0,38,3,40,0,0,1,5,0,0,28,0,0,1,0,0,0
DNase-seq,30,82,13,1,1,0,3,2,1,2,6,2,2,1,2,57,70,71,1,55,11,74,0,2,12,16,0,5,58,0,0,10,1,1,1
H2AFZ,2,13,75,3,1,2,4,1,1,4,21,3,3,1,1,56,55,60,2,58,54,63,0,1,65,54,2,23,57,0,2,56,1,3,0
H2AK5ac,0,1,3,13,0,4,3,5,1,9,0,3,5,5,1,7,7,9,2,7,7,7,4,5,5,7,0,0,7,0,2,2,3,7,0
H2AK9ac,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
H2BK120ac,0,0,2,4,0,8,2,2,2,2,0,4,4,4,0,0,2,2,6,2,0,0,2,2,2,0,2,0,2,0,2,2,0,2,2
H2BK12ac,1,3,4,3,1,2,6,2,1,4,0,5,5,2,2,2,2,4,4,4,1,1,0,2,4,2,0,0,1,0,2,0,1,4,1
H2BK15ac,0,2,1,5,0,2,2,8,1,1,0,2,4,3,2,1,4,1,1,2,1,1,2,4,4,1,0,0,3,0,0,2,1,5,3
H2BK20ac,0,1,1,1,0,2,1,1,3,1,0,3,1,3,1,1,1,1,2,1,1,1,0,3,1,1,2,0,1,0,0,0,1,1,0
H2BK5ac,1,2,4,9,1,2,4,1,1,10,0,3,3,3,1,8,5,10,2,7,7,7,2,5,5,8,0,0,5,0,2,0,3,5,0
H3F3A,0,6,21,0,0,0,0,0,0,0,24,0,0,0,0,17,15,21,0,15,16,17,0,0,18,15,0,17,18,0,0,22,0,0,0
H3K14ac,0,2,3,3,0,4,5,2,3,3,0,7,5,4,2,1,2,3,6,4,1,1,0,4,4,1,2,0,1,0,2,0,1,4,1
H3K18ac,0,2,3,5,0,4,5,4,1,3,0,5,9,4,2,1,6,3,4,6,3,3,0,2,4,1,0,0,5,0,2,0,3,4,1
H3K23ac,0,1,1,5,0,4,2,3,3,3,0,4,4,10,1,3,3,3,3,1,5,5,2,3,1,5,2,0,7,0,0,0,3,4,0
H3K23me2,0,2,1,1,0,0,2,2,1,1,0,2,2,1,2,1,2,1,1,2,1,1,0,2,2,1,0,0,1,0,0,0,1,1,1
H3K27ac,39,57,56,7,1,0,2,1,1,8,17,1,1,3,1,242,202,203,1,210,85,220,2,5,57,93,5,17,175,0,0,81,3,3,0
H3K27me3,28,70,55,7,0,2,2,4,1,5,15,2,6,3,2,202,279,250,2,236,90,259,0,6,59,105,5,14,223,0,0,81,3,1,1
H3K36me3,28,71,60,9,1,2,4,1,1,10,21,3,3,3,1,203,250,287,3,246,90,263,2,5,62,114,5,18,239,0,2,83,3,5,0
H3K4ac,0,1,2,2,0,6,4,1,2,2,0,6,4,3,1,1,2,3,9,4,0,1,2,3,3,0,2,0,1,0,2,2,0,3,3
H3K4me1,38,55,58,7,0,2,4,2,1,7,15,4,6,1,2,210,236,246,4,277,90,257,0,6,60,109,5,13,222,0,2,79,3,3,1
H3K4me2,3,11,54,7,0,0,1,1,1,7,16,1,3,5,1,85,90,90,0,90,100,95,2,5,56,85,0,13,80,0,0,74,5,3,0
H3K4me3,40,74,63,7,0,0,1,1,1,7,17,1,3,5,1,220,259,263,1,257,95,308,2,5,60,119,5,17,234,0,0,77,5,3,0
H3K56ac,0,0,0,4,0,2,0,2,0,2,0,0,0,2,0,2,0,2,2,0,2,2,6,0,0,2,0,0,2,0,0,4,2,4,2
H3K79me1,0,2,1,5,0,2,2,4,3,5,0,4,2,3,2,5,6,5,3,6,5,5,0,10,6,5,2,0,3,0,0,0,1,3,3
H3K79me2,1,12,65,5,0,2,4,4,1,5,18,4,4,1,2,57,59,62,3,60,56,60,0,6,76,56,2,18,54,0,2,54,1,5,3
H3K9ac,5,16,54,7,1,0,2,1,1,8,15,1,1,5,1,93,105,114,0,109,85,119,2,5,56,127,5,14,105,0,0,71,3,3,0
H3K9me1,0,0,2,0,0,2,0,0,2,0,0,2,0,2,0,5,5,5,2,5,0,5,0,2,2,5,7,0,2,0,0,5,0,0,0
H3K9me2,0,5,23,0,0,0,0,0,0,0,17,0,0,0,0,17,14,18,0,13,13,17,0,0,18,14,0,26,22,0,0,21,0,0,0
H3K9me3,28,58,57,7,0,2,1,3,1,5,18,1,5,7,1,175,223,239,1,222,80,234,2,3,54,105,2,22,264,0,0,75,5,3,0
H3T11ph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H4K12ac,0,0,2,2,0,2,2,0,0,2,0,2,2,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0
H4K20me1,1,10,56,2,0,2,0,2,0,0,22,0,0,0,0,81,81,83,2,79,74,77,4,0,54,71,5,21,75,0,0,95,0,2,2
H4K5ac,0,1,1,3,0,0,1,1,1,3,0,1,3,3,1,3,3,3,0,3,5,5,2,1,1,3,0,0,5,0,0,0,5,3,0
H4K8ac,0,1,3,7,0,2,4,5,1,5,0,4,4,4,1,3,1,5,3,3,3,3,4,3,5,3,0,0,3,0,2,2,3,10,2
H4K91ac,0,1,0,0,0,2,1,3,0,0,0,1,1,0,1,0,1,0,3,1,0,0,2,3,3,0,0,0,0,0,0,2,0,2,5
