,ATAC-seq,DNase-seq,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac
ATAC-seq,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
DNase-seq,0.175,1.0,0.1,0.1,0.025,0.125,0.1,0.075,0.05,0.1,0.0,0.1,0.125,0.075,0.05,0.3,0.225,0.3,0.125,0.225,0.125,0.425,0.075,0.125,0.075,0.125,0.05,0.0,0.275,0.025,0.025,0.075,0.075,0.125,0.1
H2AFZ,0.0,0.4,1.0,0.1,0.0,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.4,0.0,0.2,0.6,0.5,0.7,0.2,0.8,0.5,0.8,0.2,0.4,0.5,0.8,0.1,0.1,0.5,0.1,0.1,0.2,0.2,0.4,0.1
H2AK5ac,0.0,0.8,0.2,1.0,0.2,0.8,0.6,0.4,0.2,0.6,0.0,0.6,0.6,0.6,0.0,0.8,0.8,0.6,1.0,0.6,0.6,0.8,0.2,0.6,0.4,0.4,0.2,0.0,1.0,0.0,0.2,0.4,0.2,0.6,0.6
H2AK9ac,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
H2BK120ac,0.0,1.0,0.4,0.8,0.2,1.0,0.8,0.6,0.4,0.8,0.0,0.6,0.8,0.6,0.2,1.0,1.0,0.8,0.8,0.8,0.8,1.0,0.4,0.8,0.6,0.6,0.2,0.0,0.8,0.0,0.2,0.2,0.4,0.8,0.8
H2BK12ac,0.0,0.8,0.6,0.6,0.0,0.8,1.0,0.4,0.2,0.6,0.0,0.4,0.6,0.4,0.2,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.2,0.6,0.4,0.8,0.0,0.0,0.6,0.0,0.2,0.0,0.2,1.0,0.6
H2BK15ac,0.0,0.75,0.25,0.5,0.25,0.75,0.5,1.0,0.5,0.75,0.0,0.75,0.5,0.5,0.25,0.75,0.75,0.75,0.5,1.0,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.0,0.5,0.0,0.0,0.25,0.5,0.5,0.75
H2BK20ac,0.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0
H2BK5ac,0.0,0.8,0.2,0.6,0.2,0.8,0.6,0.6,0.4,1.0,0.0,0.4,0.6,0.6,0.2,0.8,0.8,1.0,0.6,0.6,1.0,0.8,0.4,0.6,0.4,0.4,0.2,0.0,0.6,0.0,0.0,0.2,0.4,0.6,1.0
