,ATAC-seq,DNase-seq,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac
ATAC-seq,1.0,0.6521739130434783,0.043478260869565216,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.8478260869565217,0.6086956521739131,0.6086956521739131,0.0,0.8260869565217391,0.06521739130434782,0.8695652173913043,0.0,0.0,0.021739130434782608,0.10869565217391304,0.0,0.0,0.6086956521739131,0.0,0.0,0.021739130434782608,0.0,0.0,0.0
DNase-seq,0.36585365853658536,1.0,0.15853658536585366,0.012195121951219513,0.012195121951219513,0.0,0.036585365853658534,0.024390243902439025,0.012195121951219513,0.024390243902439025,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.012195121951219513,0.024390243902439025,0.6951219512195121,0.8536585365853658,0.8658536585365854,0.012195121951219513,0.6707317073170732,0.13414634146341464,0.9024390243902439,0.0,0.024390243902439025,0.14634146341463414,0.1951219512195122,0.0,0.06097560975609756,0.7073170731707317,0.0,0.0,0.12195121951219512,0.012195121951219513,0.012195121951219513,0.012195121951219513
H2AFZ,0.02666666666666667,0.17333333333333334,1.0,0.04,0.013333333333333334,0.02666666666666667,0.05333333333333334,0.013333333333333334,0.013333333333333334,0.05333333333333334,0.28,0.04,0.04,0.013333333333333334,0.013333333333333334,0.7466666666666667,0.7333333333333333,0.8,0.02666666666666667,0.7733333333333333,0.72,0.84,0.0,0.013333333333333334,0.8666666666666667,0.72,0.02666666666666667,0.30666666666666664,0.76,0.0,0.02666666666666667,0.7466666666666667,0.013333333333333334,0.04,0.0
H2AK5ac,0.0,0.07692307692307693,0.23076923076923078,1.0,0.0,0.3076923076923077,0.23076923076923078,0.38461538461538464,0.07692307692307693,0.6923076923076923,0.0,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.5384615384615384,0.5384615384615384,0.6923076923076923,0.15384615384615385,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.3076923076923077,0.38461538461538464,0.38461538461538464,0.5384615384615384,0.0,0.0,0.5384615384615384,0.0,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.5384615384615384,0.0
H2AK9ac,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2BK120ac,0.0,0.0,0.25,0.5,0.0,1.0,0.25,0.25,0.25,0.25,0.0,0.5,0.5,0.5,0.0,0.0,0.25,0.25,0.75,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.25
H2BK12ac,0.16666666666666666,0.5,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666
H2BK15ac,0.0,0.25,0.125,0.625,0.0,0.25,0.25,1.0,0.125,0.125,0.0,0.25,0.5,0.375,0.25,0.125,0.5,0.125,0.125,0.25,0.125,0.125,0.25,0.5,0.5,0.125,0.0,0.0,0.375,0.0,0.0,0.25,0.125,0.625,0.375
H2BK20ac,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
H2BK5ac,0.1,0.2,0.4,0.9,0.1,0.2,0.4,0.1,0.1,1.0,0.0,0.3,0.3,0.3,0.1,0.8,0.5,1.0,0.2,0.7,0.7,0.7,0.2,0.5,0.5,0.8,0.0,0.0,0.5,0.0,0.2,0.0,0.3,0.5,0.0
