commit	keep	primary_score	imp_r2	den_r2	count_imp_loss	count_obs_loss	train_imp_loss	train_obs_loss	param_count	vram_mb	vram_ok	status	description
be0d38e2	guard_fail	-2.811851	-2.283262	-5.491669	1.537509	1.039636	0.973638	0.631885	300696	121.769531	true	ok	baseline vendored v2
1bd68ee4	guard_fail	-2.703176	-3.342708	-3.106517	1.600178	1.022926	0.822583	0.817529	421224	128.799805	true	ok	n_transformer_layers=3
78e6f31c	crash	None	None	None	None	None	None	None	300912	120.122559	false	crash	gated fusion + fusion_norm layer
057e52f6	keep	-1.876200	-0.240145	-5.043290	1.952507	1.168113	1.047998	6.307950	827256	149.293457	true	ok	n_transformer=4, nhead=8, conv_norm=group, decoder.grouped_deconv=True
ed9d7938	keep	-0.988292	-0.103139	-1.738914	2.043543	0.984421	0.949702	4.910301	836664	141.875000	true	ok	re-run: n_transformer=4, nhead=8, conv_norm=group
24579dc0	keep	-0.803227	-0.115555	-0.927711	2.106100	0.980796	1.135153	4.342993	827808	149.288086	true	ok	n_transformer=4, nhead=8, conv_norm=group, decoder.meta_embed_dim=8
e208a2e6	keep	-0.763572	-0.109295	-0.757775	2.130180	0.989097	0.732638	6.672451	827752	149.635254	true	ok	agent_step
bfe3aa7a	keep	-0.727616	-0.112447	-0.601101	2.143036	0.981325	1.062500	3.861548	827752	149.635254	true	ok	agent_step
5c7c68ae	keep	-0.727471	-0.112359	-0.604853	2.137957	0.981051	1.063052	3.863787	827752	149.635254	true	ok	agent_step
5036bf6d	no_gain	-0.934315	-0.120326	-1.337154	2.207774	1.043250	0.992296	5.024942	827760	149.861328	true	ok	agent_step
39b956c1	no_gain	-1.052533	-0.128231	-1.971845	1.951482	1.115716	0.785483	7.138606	826600	149.613281	true	ok	agent_step
c183ebcc	keep	-0.703679	-0.094400	-0.607095	2.057714	0.978831	0.829744	6.014462	827753	149.637695	true	ok	agent_step
8cf7e264	no_gain	-0.733738	-0.105267	-0.679081	2.089477	0.987021	1.028360	4.034535	827760	149.637695	true	ok	agent_step
51b2811b	no_gain	-1.554830	-0.590422	-3.311965	1.746082	1.119320	1.095618	5.972398	827825	149.640137	true	ok	agent_step
309e7443	no_gain	-1.005909	-0.150576	-1.462933	2.330449	1.063269	0.792661	7.058053	828833	149.947754	true	ok	agent_step
12616482	no_gain	-0.715669	-0.109967	-0.625779	2.057003	0.983382	1.019351	4.810990	827753	149.684570	true	ok	agent_step
81685ca2	keep	-0.611599	-0.085916	-0.422262	1.848026	0.977663	0.866071	5.596271	827754	149.687988	true	ok	agent_step
5a53c304	no_gain	-0.650152	-0.074522	-0.628897	1.797687	0.998552	1.063327	3.438432	827754	149.641113	true	ok	agent_step
efe0d54b	no_gain	-0.620510	-0.085760	-0.460524	1.843016	0.981842	0.891532	5.760201	827754	149.687988	true	ok	agent_step
5a5acb1a	no_gain	-0.614649	-0.084879	-0.443305	1.838368	0.979538	0.904069	5.817459	827754	155.875488	true	ok	agent_step
81e134ad	no_gain	-0.642299	-0.082368	-0.550033	1.840817	0.995617	1.053799	3.426304	827754	155.875488	true	ok	agent_step
2acfe570	no_gain	-0.652898	-0.080470	-0.606865	1.826047	0.997610	1.055913	3.468884	827826	149.902832	true	ok	agent_step
34b30605	guard_fail	-0.568017	-0.092935	-0.225722	1.868974	0.959708	1.091177	4.919280	827698	149.687988	true	ok	agent_step
28fd26b3	guard_fail	-0.616466	-0.089825	-0.450733	1.787996	1.057619	0.952414	5.162344	827755	149.690918	true	ok	agent_step
85c41652	no_gain	-0.679069	-0.123021	-0.380606	2.152334	0.980913	1.191552	5.341076	827698	149.687988	true	ok	agent_step
867eb7f8	no_gain	-0.727950	-0.107194	-0.671863	2.060378	0.996713	1.082357	4.632032	827697	149.684570	true	ok	agent_step
38a45304	no_gain	-0.686336	-0.110487	-0.489807	2.079581	0.982492	0.860967	5.552561	827698	149.688477	true	ok	agent_step
edf38442	crash	None	None	None	None	None	None	None	828186	42.289062	false	crash	agent_step
99a8dadc	guard_fail	-0.897075	-0.196907	-1.465648	1.715164	0.990216	0.974598	5.273410	827698	149.687988	true	ok	agent_step
8247dca9	no_gain	-0.599166	-0.078985	-0.405013	1.824467	0.974766	1.132330	4.049621	827754	149.687988	true	ok	agent_step
11bc3a4f	guard_fail	-0.555176	-0.090270	-0.208247	1.833799	0.957326	1.168982	5.517207	833130	149.790527	true	ok	agent_step
3c442ac8	no_gain	-0.616618	-0.093332	-0.433817	1.852085	0.957479	1.077038	4.701392	833129	149.787109	true	ok	agent_step
821271f5	guard_fail	-0.592082	-0.100667	-0.340655	1.824683	0.966816	0.994736	3.935201	832426	149.778320	true	ok	agent_step
31e49073	no_gain	-0.629438	-0.085295	-0.521676	1.816516	0.973335	0.891721	5.099345	833129	149.787109	true	ok	agent_step
62a4009c	no_gain	-0.621753	-0.073815	-0.520430	1.799821	0.984647	1.101940	4.835142	827754	149.687988	true	ok	agent_step
0ce516f6	no_gain	-0.566178	-0.093368	-0.235138	1.849931	0.953919	0.865831	5.095087	833130	149.792480	true	ok	agent_step
1f113c26	no_gain	-0.576925	-0.084687	-0.303939	1.832018	0.964270	0.743589	5.715404	833130	149.790527	true	ok	agent_step
4232176f	guard_fail	-0.581019	-0.077048	-0.382291	1.771415	0.964921	0.959690	4.734540	833130	149.790527	true	ok	agent_step
a8e63b37	no_gain	-0.563180	-0.091321	-0.233840	1.838848	0.958561	1.169242	5.523195	833130	149.792480	true	ok	agent_step
