commit	primary_score	metric_phase	imp_r2	den_r2	dcr	imp_pearson	vram_mb	vram_ok	status	description
f91dab7e	-0.629592	den	-0.551632	-0.279592	3.974149	0.372441	110.026855	true	ok	exp1 dsf_sampling=off
5f4d0210	-1.850400	den	-2.321531	-1.500400	3.959001	0.258985	110.026855	true	ok	exp2 imp=8 obs=0.5 dsf=off
c36cceb7	-0.950073	den	-2.286794	-0.600073	3.938994	0.332772	110.026855	true	ok	exp3 obs_weight=2.0 dsf=off
262d270e	-0.506968	den	-1.047308	-0.156968	4.017306	0.247998	110.026855	true	ok	exp4 depth_center=26.0 dsf=off
b45c6f6f	-0.367147	den	-1.384923	-0.017147	3.986746	0.252835	110.026855	true	ok	exp5 depth_center=25.0 dsf=off
4f2fc61d	-0.418428	den	-1.074788	-0.068428	4.054355	0.239750	110.026855	true	ok	exp6 depth_center=24.0 dsf=off
dfaefc9c	-0.800048	den	-3.203144	-0.450048	3.923910	0.296504	110.026855	true	ok	exp7 lambda_mse_obs=0.1 dc=24 dsf=off
2b7824cf	-0.204189	den	-0.254888	0.145811	3.992030	0.370674	110.026855	true	ok	exp8 depth_center=23.0 dsf=off
e1f3cdd1	-0.628078	den	-0.996214	-0.278078	3.954288	0.310148	110.026855	true	ok	exp9 depth_center=22.0 dsf=off
7f6ee449	-0.128703	den	-0.176813	0.221297	3.989259	0.317923	110.026855	true	ok	exp10 imp_weight=0.5 dc=23 mse_obs=0.1
715dc04c	-0.047881	den	-0.122555	0.302119	4.006324	0.320660	110.026855	true	ok	exp11 obs_weight=3.0 imp=0.5 dc=23
413b30e6	-0.099630	den	-0.639049	0.250370	3.987898	0.388987	110.026855	true	ok	exp12 obs_weight=4.0 imp=0.5 dc=23
53f64e79	-0.082743	den	0.002250	0.267257	4.019624	0.360498	110.026855	true	ok	exp13 lambda_mse_obs=0.5 obs=3 imp=0.5 dc=23
9c51230d	-0.124179	den	-0.559571	0.225821	4.005703	0.320236	110.026855	true	ok	exp14 mse_on_log1p=True obs=3 imp=0.5 dc=23
ca35c45e	-0.075122	den	-0.367187	0.274878	3.995636	0.392545	110.026855	true	ok	exp15 imp_weight=0.25 obs=3 dc=23
