biosample,prefix,base_name,assay,log2_depth,seq_depth,read_length,run_type
B_DND-41,B,DND-41,ATAC-seq,27.90351676940918,251070410.18493325,76.0,1.0
B_DND-41,B,DND-41,H3K9me3,25.177961349487305,37959597.24419829,101.0,1.0
B_RWPE2,B,RWPE2,ATAC-seq,27.51519775390625,191822638.58000693,76.0,1.0
B_RWPE2,B,RWPE2,DNase-seq,25.88445472717285,61943721.588530265,100.0,1.0
B_RWPE2,B,RWPE2,H3K4me3,26.373416900634766,86933982.47202832,100.0,1.0
B_RWPE2,B,RWPE2,H3K27ac,26.1737003326416,75695297.05526382,100.0,1.0
B_RWPE2,B,RWPE2,H3K27me3,25.932905197143555,64059322.18364476,100.0,1.0
B_RWPE2,B,RWPE2,H3K36me3,25.592403411865234,50591911.44868621,100.0,1.0
B_RWPE2,B,RWPE2,H3K9me3,25.346725463867188,42670197.84171988,101.0,1.0
T_DND-41,T,DND-41,DNase-seq,24.557104110717773,24684534.62760936,36.0,0.0
T_DND-41,T,DND-41,H3K4me3,24.050745010375977,17377834.873759795,36.0,0.0
T_DND-41,T,DND-41,H3K27ac,23.33356475830078,10570679.321721476,36.0,0.0
T_DND-41,T,DND-41,H3K27me3,23.945205688476562,16151957.55131865,36.0,0.0
T_DND-41,T,DND-41,H3K36me3,24.09303092956543,17894723.66377803,36.0,0.0
T_H1-hESC,T,H1-hESC,ATAC-seq,27.708641052246094,219347200.43965408,101.0,1.0
T_H1-hESC,T,H1-hESC,DNase-seq,25.594545364379883,50667080.45750507,36.0,0.0
T_H1-hESC,T,H1-hESC,H3K4me3,23.399084091186523,11061809.69048295,36.0,0.0
T_H1-hESC,T,H1-hESC,H3K4me1,23.155508041381836,9343347.150676921,30.0,0.0
T_H1-hESC,T,H1-hESC,H3K27me3,23.228784561157227,9830167.448370745,36.0,0.0
T_H1-hESC,T,H1-hESC,H3K36me3,23.87645721435547,15400322.36397867,36.0,0.0
T_H9,T,H9,ATAC-seq,27.972097396850586,263293633.6168909,36.0,1.0
T_H9,T,H9,DNase-seq,22.19983673095703,4817444.886589657,30.0,0.0
T_H9,T,H9,H3K4me3,23.33119773864746,10553350.301851433,30.0,0.0
T_H9,T,H9,H3K4me1,24.133058547973633,18398165.02706113,30.0,0.0
T_H9,T,H9,H3K27ac,23.93999671936035,16093744.734297812,30.0,0.0
T_H9,T,H9,H3K27me3,24.639453887939453,26134530.17095978,36.0,0.0
T_H9,T,H9,H3K36me3,24.277109146118164,20330031.941979043,36.0,0.0
T_RWPE2,T,RWPE2,H3K4me1,25.7145938873291,55063534.666334964,100.0,1.0
T_heart_left_ventricle,T,heart_left_ventricle,ATAC-seq,28.130508422851562,293850766.94786143,36.0,1.0
T_heart_left_ventricle,T,heart_left_ventricle,H3K4me3,24.938491821289062,32153931.693360176,76.0,0.0
T_heart_left_ventricle,T,heart_left_ventricle,H3K4me1,24.6712646484375,26717184.535823163,76.0,0.0
T_heart_left_ventricle,T,heart_left_ventricle,H3K27ac,25.447021484375,45742170.368017554,76.0,0.0
T_heart_left_ventricle,T,heart_left_ventricle,H3K27me3,25.561100006103516,49505998.461696,76.0,0.0
T_heart_left_ventricle,T,heart_left_ventricle,H3K36me3,25.876724243164062,61612692.310200125,76.0,0.0
T_heart_left_ventricle,T,heart_left_ventricle,H3K9me3,25.137022018432617,36897558.435051166,101.0,1.0
V_DND-41,V,DND-41,H3K4me1,25.073030471801758,35296712.23061443,36.0,0.0
V_H1-hESC,V,H1-hESC,H3K27ac,24.004528045654297,16829955.726225823,30.0,0.0
V_heart_left_ventricle,V,heart_left_ventricle,DNase-seq,26.55135726928711,98345606.65087496,76.0,0.0
